2019-09-15 16:03		5分	游客没用填写买票情况      	XinVCherish		广西值得去的地方，每个季节都不一样。
2018-07-30 13:00		4分	游客没用填写买票情况      	猪元旦		取票还是挺方便的，我是早上到的早！景色还可以，没见过的去看看也还行！要去这个地方趁早去，现在农民都不种地了，有些地方都荒了，各种建筑物，建的越来越多了，再晚去可能就看着没什么意思了！
2018-07-29 22:05		5分	游客没用填写买票情况      	_CFT01****9497821		用了优惠券，比门市价便宜了10元，兑换也很方便快捷，直接拿身份证就可以换取门票了
2018-07-29 20:23		5分	游客没用填写买票情况      	158****7293		我们先玩了金坑梯田，最高的梯田景观看上去非常壮观，景色漂亮，我们没有坐缆车，爬了一个半小时到山顶，玩一个就够了，下次有机会玩其他的。
2018-07-29 20:04		4分	游客没用填写买票情况      	兰花Lusuilan		值得去一次！只是路途较远。选择包车遊会轻松些，不用转车。夏天7月尾去的，人特别多！排队坐览车，排了个把小时，还好，在屋子里有电扇吹着，排队也井然有序，看看手机就过去了。上去能:看一下平曰难见的自然美景，还是值得的。包车600，览车来回100，门票70岁以上老人才10元，记得带身份证呀！
2018-07-29 00:10		5分	游客没用填写买票情况      	137****3322		很壮观的景点！我觉得去一次都不够，已经计划秋收的季节必须再来一次。感受漫山遍野的金黄色所带来的震撼场面。这次看到的是错落有致的春意绿色！
2018-07-28 23:06		5分	游客没用填写买票情况      	月之舞舞之月		龙脊梯田主要是以农业梯田景观为主体，融人壮、瑶等少数民族传统民族风情为一体的景观。梯田如链似带，从山脚一直盘绕到山顶，小山如螺，大山似塔。春如层层银带、夏滚道道绿波、秋叠座座金塔、冬似群龙戏水，在这浩瀚如海的梯田世界里，最大的梯田只有0.62亩，最小的梯田只能插3株禾苗，有“青蛙一跳三块田”和“一床蓑衣盖过田”之说。
2018-07-28 11:49		4分	游客没用填写买票情况      	135****2550		没有宣传的那么好，可以看，但别预期值太高&#x0A;
2018-07-28 11:35		5分	游客没用填写买票情况      	M76****75		直接售票处取票，比较喜欢龙脊风光
2018-07-26 20:53		5分	游客没用填写买票情况      	_CFT01****4700638		出票快，值得一游，风景优美，赞
2018-07-26 10:47		5分	游客没用填写买票情况      	_cmb43****1404267		还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错
2018-07-26 03:32		5分	游客没用填写买票情况      	十一郎_Charles		很不错，打算早上看日出。棒棒哒
2018-07-25 23:13		5分	游客没用填写买票情况      	风之行991335		路程太远，必须自驾或跟团，否则不方便。
2018-07-25 14:36		5分	游客没用填写买票情况      	永丰武则天		方便还比售票窗口的便宜，还可以用优惠券
2018-07-25 06:16		5分	游客没用填写买票情况      	Robinnet		去的时候下雨，没看到阳光映照下的梯田美景。顺着山势层层叠叠的稻田。
2018-07-24 10:42		5分	游客没用填写买票情况      	_CFT0****1404		坐索道观光比较好，在空中才能看出那种震撼人心的效果
2018-07-24 10:39		5分	游客没用填写买票情况      	_CFT0****1404		在山下没什么看头，坐索道上看起比较震撼
2018-07-23 21:57		1分	游客没用填写买票情况      	_WeCh****23911		绝对不值得去的地方交通太不方便了距离市区远而且半程都是崎岖山路，景区硬件极差，垃圾桶都是敞开式的所以臭气熏天，登顶后地方很小，商业化太强
2018-07-23 21:01		5分	游客没用填写买票情况      	M27****1607		在山上一户人家吃了现杀的竹筒土鸡，味道真不错，他家还有客房，尤其是客房的阳台，梯田风光尽收眼底，如果不是赶时间，一定在他家住下
2018-07-22 21:54		4分	游客没用填写买票情况      	风铃草xlw		景色很美，住了一晚，就是路不太好
2018-07-21 19:13		5分	游客没用填写买票情况      	M46****531		商家服务非常好！因特殊原因不能出游，商家立马就给全额退款，感谢！桂林是个好地方。下次和朋友一起再来，还从这里订票，服务太好了，谢谢谢谢！
2018-07-21 17:09		5分	游客没用填写买票情况      	M25****7817		很值得游玩的一个景点，风景漂亮，空气很好，适合家人，朋友一起去，遗憾的是这次没在那边住一晚看日出，还好第二天去了相公山弥补了这个不足
2018-07-21 11:46		4分	游客没用填写买票情况      	m10****740		第一次来，很壮观！大饱眼福！就是2小时路程后，换乘大巴上山坐缆车，这个大巴真的是……坐近50分钟，真的服了开车的司机，惊险！正是惊险，整得一脚油门一脚刹车，不晕车的人都要被整得坐车了！哎！儿子下来都吐了！晕车的还是要三思！太阳大，建议双程缆车，不然估计会被晒透的！行程上下午是红溪瀑布，沿着一条小河溪上山，如果见过瀑布的，就不建议去了……3个小瀑布……山上有玻璃滑倒，30元，孩子半价，几分钟下来了……自己安排的第一天，把最辛苦的走完了，是明智的！
2018-07-21 07:46		5分	游客没用填写买票情况      	133****0160		&#x0A;龙脊梯田非常棒，满足了我对梯田的所有的想象。沿途中，我捡到了一匹小马和一个铃铛。我决定带着他们一起走天涯。
2018-07-20 23:40		5分	游客没用填写买票情况      	M39****544		非常漂亮，值得一去，很好很好
2018-07-20 21:55		4分	游客没用填写买票情况      	_wech****01353		我们玩梯田就玩了一个金坑的2号景，爬山好辛苦啊，3号景可以做上下缆车的。我们没有去，有个阿姨说可以自驾去2号，没想到2号就是两条腿爬上去，等我们下来已经快5点了。就放弃3号景了。另一个梯田也没去成，从桂林出发到金坑想再去另一个梯田时间太困难了。开车一定要小心，新手介意直接取消自驾，不要说会不会发生车祸，你在路上的时间会很长很长，别看景点门口到金坑才11公里，太难开了。离景点门口最近的长发村走走看看就可以了。表演听说80一位我们就没进去看了。具体门票不知道，但是真不值得就对了。
2018-07-20 10:58		5分	游客没用填写买票情况      	e30****82		梯田希望不要再建那么多的民宿了，没有以前那么好了，不过还是很舒服
2018-07-18 12:13		5分	游客没用填写买票情况      	花冠王子		很好！不错的！！！！！！！！！！！
2018-07-17 23:58		5分	游客没用填写买票情况      	_WeCh****642466		超值，游玩的很愉快，快速便捷好
2018-07-17 17:10		4分	游客没用填写买票情况      	小李飞刀		朋友一家人单位旅游包机来到桂林，这是其中一站，景色不错，就是爬山有点累，不适合老人，天气热了点，还是坐船游漓江舒服啊！
2018-07-17 05:41		5分	游客没用填写买票情况      	施维文森特		风光无限好，特别是稻子金黄的时节更加漂亮了。
2018-07-16 16:00		5分	游客没用填写买票情况      	szyyg		景区很大，景色很美。建议自驾游的朋友请个导游，100元。带你玩转一下，不会有漏掉的景点。
2018-07-16 15:11		5分	游客没用填写买票情况      	M62****902		多少代劳动人民的成果，很是壮观，无人机拍出来超漂亮，这次运气也很好，据说前一周都在下雨，我们去的两天天晴，虽然有点晒，但是拍出来很美
2018-07-16 15:09		5分	游客没用填写买票情况      	M62****902		据说秋天会更美，期待下次秋季再去，这次七星伴月观景台正在整修，有点可惜，下次再换个观景台
2018-07-16 15:06		5分	游客没用填写买票情况      	M62****902		这次带了无人机去拍梯田，真的很美，清晨走在山间，呼吸着新鲜的空气，住宿也很方便，我们就住在九龙五虎观景台旁边，很方便
2018-07-15 11:33		5分	游客没用填写买票情况      	M62****902		挺好的，用了优惠券，省了20块钱
2018-07-14 19:57		5分	游客没用填写买票情况      	183****3765		就是路不太好走什么时候通高速就好了
2018-07-14 09:28		5分	游客没用填写买票情况      	小苹果花苑		龙脊梯田坐落在广西桂林自治区龙胜各族自治县龙脊镇平安村，这里是全国AAAA级景区，俯瞰龙脊梯田美景，徒步探访百年古寨，着实另人陶醉期间，流连忘返.....&#x0A;可以说梯田是处处有，可像龙脊梯田这样大规模的集中实属罕见。这里最著名的有“九龙五虎”和“七星伴月”两个独特的景观。梯田景中有景，也有着许多情趣和意味。龙脊梯田整齐有序，线条丰富多彩，线条形状以曲线为主，有的梯田如七星伴，以带状形的较多，它的高低层次较多，远近层次也很丰富。&#x0A;个人还特别喜欢这里的山寨，房屋是清一色的吊角楼，错落有序的山寨与大山融为一体，古朴清雅，画意十足，来到金坑大有返璞归真、回归自然之感。
2018-07-12 17:59		5分	游客没用填写买票情况      	kid****ma		山路确实够弯，从景区大门开到大寨金坑，二十多公里，花了快一个小时。外地朋友过来值得带来玩玩。
2018-07-11 22:55		5分	游客没用填写买票情况      	133****5088		美景震撼，人定胜天，有机会再来，但愿明天早晨有云
2018-07-10 15:31		5分	游客没用填写买票情况      	兆雄		1、我和景昌堂弟，自小玩大，成年之后几十年，各忙各的，往来不多却情谊未减。我和他相伴旅游第一次，便是乘高铁到广西桂林，游玩龙胜龙脊梯田（去年4月20日至23日）。游玩这个闻名世界的龙脊梯田，确实令我眼界大开，收获和快乐亦多多。&#x0A;&#x0A;2、龙脊梯田原乡原生态，地处广西桂林市龙胜各民族自治县。自治县总面积2538平方公里，群山连绵组成，谓之“九山半水半分亩”，人口17万，自古至今，苗、瑶、侗、壮、汉等民族共居龙胜。（见照片2张）&#x0A;&#x0A;3、龙脊梯田（种植水稻）始建于宋代，至今已有一千多年历史了。龙脊梯田水稻，每年一造，6月播种10月收割，稻米品质极佳，米饭别有风味。龙脊梯田地处海拔1916米的崇山峻岭，海拨最高的梯田有1180米，最低则是380米，整个桂林（龙胜）的龙脊梯田的总面积达70.1平方公里。&#x0A;&#x0A;4、龙脊梯田最大的亮点和视点（主要景观区）有金坑梯田观景区等10多个。我和阿昌此行乐在当下，龙胜龙脊梯田之旅，主要游玩的景点（节目）有：坐桂林（金坑）索道揽车（吊厢）上金佛顶。&#x0A;缓缓上行途中，鸟瞰梯田十里画廊，美不胜收。&#x0A;登上金佛顶，俯瞰壮金坑梯田及金坑大寨（中国经典景观村落）尽收眼底，情不自禁赞美龙脊梯田，堪称“天下一绝”“世界之最”，名符其实也。&#x0A;（见照片8张）&#x0A;&#x0A;5、游览龙脊梯田之后，还有3个景点很值得一游：&#x0A;一是龙脊镇龙脊街（和平村）。龙脊街是由北宋初年，住有八户盘瑶人家而发展而成的。街两旁的建筑物颇有古村落的味道，其中风雨桥和塔楼，建筑艺术确是另具一格。（照片1张）&#x0A;二是游玩白面瑶寨。既见识了瑶族女人超2米长长黑黑的长发，又见识了她们不一样的歌舞。我还参与了一个与她们互动环节的歌舞（表演），甚为开心快乐呢。（见照片2张）&#x0A;三是大塘湾民族风情园。该园有精彩节目丰富的侗族歌舞表演，其中有观众们与演员们一起互动表演的环节。我还被他们邀请上舞台，穿着起他们的服装，参予“农家乐”表演。大家玩得很开心呢。（见照片2张）
2018-07-09 22:48		4分	游客没用填写买票情况      	M47****86		下雨，湿湿的云雾什么也看不到，三四个小时还是有的，但山上一时云雾散去，看清层层梯田，还是惊艳的，流水潺潺，弯弯曲曲的小路，还是有趣的
2018-07-09 22:08		5分	游客没用填写买票情况      	300****598		一定要身临其境，个人认为比漓江阳朔什么的更加值得玩味，强烈推荐！
2018-07-09 00:03		4分	游客没用填写买票情况      	新-云		广西龙脊梯田云海——大疆航拍比手机拍的感觉就是不一样，其实更为磅礴，今天为大疆无人机代言，云雾缭绕的这种感觉真好！分分钟感觉都是大片。
2018-07-08 19:45		4分	游客没用填写买票情况      	不吃鱼的猫77		金坑梯田景色蛮好的！只是我们赶上了大雨天，看不了日出日落有点遗憾
2018-07-08 12:00		2分	游客没用填写买票情况      	M18****297		路超级烂，门票还收那么贵，太不合理
2018-07-08 11:14		5分	游客没用填写买票情况      	M48****439		非常值得去的地方，适合自驾游。
2018-07-07 22:46		5分	游客没用填写买票情况      	马尔代夫yx		龙脊梯田还是很不错，一些民宿也不错，值得去看一看
2018-07-07 11:43		5分	游客没用填写买票情况      	e27****64		70以上老人和有学生证的，都有优惠票，可以当场买，其他人都是成人票。如果在金坑较高旅馆入住的话。建议有时间，先玩平安寨，稍晚点再去金坑。因为上山有一段路实在太烂，非越野车不行，非技术过硬的老驾驶员不行。我们包了一辆当地人开的越野车，150元一路颠上去，下山还得150元。不过司机很好，我们落在车上的手机被司机送回，我们提出要去二号观景台看看，也会指路并耐心等待。梯田是真漂亮，值得一去。
2018-07-06 09:18		5分	游客没用填写买票情况      	大肥野兔		导航上看距桂林70公里且全程计划着中午也就回来了&#x0A;没想到70公里到达的是景点门口。里面还有山路近30公里。有些地方非常颠簸，进门也就十几分钟感觉就要被颠晕了。&#x20;路窄窄的，有很多急弯，必须提前按喇叭。路上好多地方有小瀑布，也有稍大的甚至要穿过去。当然了，有落石的危险，有的地方看到路上堆着一堆不知什么时候掉下来的石块。&#x0A;景区内不怎么需要爬山的只有两个景点，金坑大寨可以乘缆车，九龙五虎有貌似电瓶车的汽油车。其余地方就需要徒步啦。&#x0A;有时间还是应该住上1-2晚，一天我们匆匆到了两个景点。九龙五虎处刚下车就下起了雨，巨大的云朵飘过来，面前的大山眨眼间不见了，还真是新奇的体验。&#x0A;桂林的都是阵雨，很大，很短。20分钟后就可以继续游玩。
2018-07-06 05:48		5分	游客没用填写买票情况      	203****919		在携程订票方便，车到酒店接，龙脊梯田好美，如果到三月以后去会更美
2018-07-05 17:33		5分	游客没用填写买票情况      	半度烟		张导很负责，人很好。游的很好。带小孩的。张导很关照。谢谢她。
2018-07-05 15:32		4分	游客没用填写买票情况      	乔虹富		我去的壮寨，没有去金坑，是平安壮寨，街道不大，游客也少，客栈倒是不少，商业也多，但是千篇一律，没有新意！景色还可以，可以看看，两个观景台，一号比二号好看
2018-07-04 08:52		4分	游客没用填写买票情况      	_WeCh****397886		大部分道路路況都是好的，只有幾小段有坑坑窪窪，開車要特別小心，希望有關當局要及時修整，以免造成意外。謝謝！
2018-07-03 23:22		3分	游客没用填写买票情况      	天涯不言倦		梯田被过度开发了，和以前比，景观破坏严重。本地人还算淳朴
2018-07-02 22:01		5分	游客没用填写买票情况      	M20****932		梯田很美，当地人很纯朴，门票价格很合理，只是携程的价位和现场票价相同，没有优惠。
2018-07-01 22:17		4分	游客没用填写买票情况      	118****398		门票太贵了，早辈留下来的梯田，凭什么收一百多元的门票，没理由。风光还是不错的
2018-07-01 22:12		5分	游客没用填写买票情况      	大叔123		梯田非常漂亮，建议八到十月份左右去看，那时最漂亮
2018-07-01 20:30		3分	游客没用填写买票情况      	全罗北道妮可		梯田相当于别人家村子，景区大门到梯田开车要40分钟，而且路非常不好走，太弯，梯田也就一般吧，适合北方人没见过山的人来玩，本地人...就算了吧...
2018-07-01 13:48		5分	游客没用填写买票情况      	M27****7796		这边梯田还是很美的，非常适合照相，在山顶租民族服装10元就可以自己照或者朋友照很多照片。玩梯田我是坐缆车上去的，在缆车上居高临下景色很美，然后再山顶拍拍照逛一逛，之后走下山，走的过程中还可以近距离看看梯田。一共游玩了不到3小时，所以在梯田这里也可以住在山上，当地景区里也有很多客栈民宿，可以看看日出日落。我是跟团一日游，团餐里有清水鱼，竹筒鸡，竹筒饭什么的，也不错
2018-06-30 22:57		4分	游客没用填写买票情况      	可不可以都重来		从照片上可以看出我们是淡季过去的，一路环着山路开车上去，最直接的去看最上面的梯田，可以把车开上去，然后再坐观光索道也可以不坐，直接走上去，不过坐索道还是很值得的，一路上去，索道还会贴心的给你在一些值得看的地方稍微停留一下，供我们拍拍照片，当地居民会在每年十一黄金周之后再割掉，所以黄金观赏期是在十一期间，当然人也是超多的，虽然不是在对的时间去，看到的是黄黄的梯田，但也很惊讶于人们的智慧，梯田的场面也壮观
2018-06-30 19:07		5分	游客没用填写买票情况      	闲得慌98		很壮观的一个景点。就是去一次挺远的，还是建议办个一日游。
2018-06-29 23:46		4分	游客没用填写买票情况      	D23****498		龙脊梯田，位于广西龙胜各族自治县和平乡平安村龙脊山，距县城22公里距桂林80公里，面积66平方公里，处在东经109&amp;#176;32&amp;#39;&amp;#39;-100&amp;#176;14&amp;#39;&amp;#39;，北纬25&amp;#176;35&amp;#39;&amp;#39;-26&amp;#176;17&amp;#39;&amp;#39;之间。龙脊梯田始建于元朝，完工于清初，距今已有650多年历史，是广西二十个一级景点之一。龙脊梯田分为金坑瑶族梯田观景区、平安壮族梯田观景区，其梯田分布在海拔300米至1100米之间，最大坡度达50度。&#x0A;美是很美，但门票有点贵。
2018-06-27 20:05		5分	游客没用填写买票情况      	_WeCh****55988		就是上山艰难！就当是锻炼！但美景超美！值得！
2018-06-27 13:56		5分	游客没用填写买票情况      	rei1140		世界遗产，必须打卡。&#x0A;之前在各个行家的攻略上看到美景，更加心动，趁着暑假来临票价大涨之前，匆匆定下来行程。&#x0A;从山脚盘绕到山顶，小山如螺，大山似塔，层层叠叠，高低错落，其线条行云流水，潇洒柔畅；在到它的规模更是磅礴壮观，气势恢宏，被人们叫作“梯田世界之冠”的美誉。所占的区域也是很大，面积总共有70平方公里，是桂林最有名的景点之一。&#x0A;不仅仅是身在梯田之中，我们如果站在高高的山上往下看的话，你就会看到另一副画面，垂直高度达五六里，横向伸延五六里，那起伏的山体，高耸入云的山梯，如同一级一级天造的阶梯。梯田就像链子一样，把一座座山峰环绕成一只只巨大的螺旋。真是世界的奇妙。&#x0A;&#x0A;在龙脊梯田的周围的景色也是美不胜收，从流水湍急的河谷，到白云缭绕的山巅，从万木葱茏的林边到石壁陡崖前，凡有泥土的地方，都开辟了梯田。垂直高度达五六里，横向伸延五六里，所占的区域很广，在高山望下，这里的风景就像是大自然的鬼斧神工。
2018-06-27 12:27		4分	游客没用填写买票情况      	时光闲逸		这一次去龙脊梯田，从三江直接包车过去！比上一次方便多了！不用花太多时间在路上！秋天龙脊梯田的黄金稻田特别壮观！这一次是春耕时间，梯田另有它特色！
2018-06-26 15:47		3分	游客没用填写买票情况      	王生8833		到景点，需要手动点讲解，讲解内容一般。
2018-06-25 22:10		5分	游客没用填写买票情况      	118****720		购买有一定优惠，取票比较方便，机打凭条
2018-06-25 13:52		3分	游客没用填写买票情况      	hyl****68		酒店定在最上面，开了一个小时盘山公路，不过路还算挺好走的。性价比不高，门票收费后，开了个把小时山路在离酒店还差2、3公里的地方，有个“工作人员”穿个马甲背心的工作服，拦车不让上去，边上就停着自己的电瓶车，硬收了20元说是停车费，注意：没有发票！！！感觉就是当地人假冒的，一天下来收入可观。传说中的当地拦路虎！
2018-06-24 10:47		5分	游客没用填写买票情况      	淡蓝星空1977		非常值得去。夏天，梯田里到处都是绿油油的禾苗，十分的养眼。建议缆车上去，独步下来。一级一级走下来，不会觉得很累。自驾游的，建议这里还是报个一日游的团去，轻松自在。
2018-06-23 12:19		5分	游客没用填写买票情况      	好好生活日日向前		站在观景台上，极目远眺。虽然梯田没有绿意盎然，但梯田环绕着山边，从山脚盘绕到山顶。层层叠叠，高高低低，错落有致。如行云流水、宏伟壮丽。
2018-06-21 17:46		5分	游客没用填写买票情况      	M59****473		往返大概6个小时，不枉费那么久的路程！新开发的景点，我们是坐缆车上下的，山顶上有租民族服装的，10块钱一件。，很漂亮。
2018-06-19 22:56		4分	游客没用填写买票情况      	心锐		太累了我们登山太累了吧！，太累了我们登山太累了吧！
2018-06-19 22:06		5分	游客没用填写买票情况      	绮美		2018-06-18 07:41		5分	游客没用填写买票情况      	Ivan		梯田如链似带，把一座座山峰环绕成一只只巨大的螺蛳，有的像巨扇一样半摺半开，斜叠成一个个狭长的扇；有的则像天镜被分割，然后有层次地镶嵌成多种图形的碎块，在这个广袤的方围内，小路悠悠地，蜿蜒在跌宕有致的梯田里，飘忽成一根根细绳，而袅袅地萦绕在它上空的龙脊壮族山歌，
2018-06-17 14:54		5分	游客没用填写买票情况      	M51****249		值得一去，景色真美，缆车上去，走着下来的，导游也好，无购物。
2018-06-17 04:08		5分	游客没用填写买票情况      	chu****anmu		灌了水的梯田真是美，上山之前下了暴雨，以至于刚到观景点的时候还是一片云雾缭绕，太幸运了
2018-06-12 17:56		4分	游客没用填写买票情况      	M82****61		6月已经比较热了，景色难称惊艳，但体验还是不错
2018-06-11 13:41		5分	游客没用填写买票情况      	绮美		2018-06-05 15:39		4分	游客没用填写买票情况      	_WeCh****05907		从领电子票进景点开车到山上，山路难行，路面不太好，景点还是很有特色的，山上除了梯田就没有逛的了。
2018-06-04 20:04		5分	游客没用填写买票情况      	300****507		从领电子票进景点开车到山上有缆车那停车场里都要四五十分钟，山路十八弯啊。景点还是很有特色的，就是山路难行。而且山上除了梯田就没有逛的了。竹筒鸡真的好吃。
2018-06-03 22:41		5分	游客没用填写买票情况      	jyc****00		很漂亮，空气好，原生态自然风景区
2018-06-03 21:10		4分	游客没用填写买票情况      	M18****347		去的那天天公不作美&#x20;有点下雨&#x20;爬山爬的特别高到达七星伴月&#x20;看平安水梯田&#x20;结果什么也没看见&#x20;雾蒙蒙的&#x20;当地人讲要在插秧前和收割前去看&#x20;景色会很美&#x20;一定找个晴天去&#x20;因为山高&#x20;越高水蒸气密度越大&#x20;雾就会多&#x20;温度一上来就会好很多&#x20;值得一去&#x20;但一定选好天气去&#x20;&#x0A;你&#x20;同一天的不同样式
2018-06-03 16:29		5分	游客没用填写买票情况      	文歌起舞		购票方便，取票方便，直接到售票处可取票。
2018-06-02 21:33		5分	游客没用填写买票情况      	138****3973		非常非常赞，集合了古代人民智慧的结晶
2018-06-01 07:28		5分	游客没用填写买票情况      	M45****476		安静，人文普实，热情，木结构客栈，非常喜欢
2018-05-31 22:46		3分	游客没用填写买票情况      	M22****1012		太差劲，排了那么长时间的队，风景太一般了
2018-05-31 06:49		5分	游客没用填写买票情况      	裘嘉璞		劳动人民的劳动成果，历史的见证。
2018-05-29 10:27		5分	游客没用填写买票情况      	M23****4618		梯田景观浑然天成，巧夺天工，美不胜收，如人间仙境，强力推荐。
2018-05-27 16:38		3分	游客没用填写买票情况      	yclsz		景区一般服务差路不好走小尚贩太多
2018-05-27 15:03		5分	游客没用填写买票情况      	e31****47		龙脊梯田，很有看头，我们去的时候，还没有完全放水，但是风景已经很美了，建议坐索道上，随着高度不断上升，风景尽收眼底，到了山顶看台，更是美不胜收。很多美女都穿着民族服饰，留下纪念照片。
2018-05-25 10:59		3分	游客没用填写买票情况      	D30****18		规划的不好，人气不旺，可能季节过啦。
2018-05-24 14:12		5分	游客没用填写买票情况      	戎马少司命		很壮丽，有机会会再带父母来一次。
2018-05-23 17:08		5分	游客没用填写买票情况      	288****508		全国名气最大的梯田！景色超级好看！就是门票太贵了！好的拍照位置都被圈起来了。
2018-05-22 23:55		5分	游客没用填写买票情况      	肥樫bb		那個吊車突然維修？應該早知道吧？不早通告有點騙人！要是有通知就不會去了，走上山累阿！
2018-05-22 23:52		5分	游客没用填写买票情况      	cici9090		真的是好美的梯田、层次分明色彩
2018-05-22 17:37		4分	游客没用填写买票情况      	cherrykoala		还是比较有特色和壮观的，我们去的时候刚灌水，没看到郁郁葱葱的一片，应该过段时间去比较好！
2018-05-21 08:25		5分	游客没用填写买票情况      	Sarah Hs		廣西少數族群是名聞遐邇的，在綿延不絕的山丘中，為了生計與生存，進而發展出來的農業生態，一望無際的梯田，現在這裡已觀光化，仍掩不住它的美。
2018-05-21 02:18		5分	游客没用填写买票情况      	kobejjm		很好看，环境非常优美，喀斯特地貌非常壮观
2018-05-20 21:29		5分	游客没用填写买票情况      	138****5964		好山好水好地方，景色不错，风景秀丽，值得来欣赏一下！
2018-05-20 20:49		5分	游客没用填写买票情况      	205****896		值得去看一下，但是季节要对，我们去的早了些，现在去会更好一些
2018-05-20 07:21		5分	游客没用填写买票情况      	M26****9915		很好很方便的自驾游门票去了平安，金坑梯田
2018-05-20 07:09		5分	游客没用填写买票情况      	205****896		去的早了，但是也很美，应该住上两个晚上
2018-05-19 13:46		5分	游客没用填写买票情况      	暖暖暖Q		很好看、很好玩、很赞。很棒。嘻嘻
2018-05-18 18:00		5分	游客没用填写买票情况      	简启裕		龙脊金坑梯田真的很壮观，空气非常好，非常舒服。可惜去的时候还没全放水。以后还会再去
2018-05-17 21:22		4分	游客没用填写买票情况      	牛牛辰		值得一去。但是景区的开发还不是很完善，景区内有些地方的路不是很好走。
2018-05-17 15:58		4分	游客没用填写买票情况      	juay朱琴		龙脊的四季都有它独特的美丽，不过最美应该要数九月了，金灿灿的一片层层叠叠，想想都是美得不要不要的。五月份去，我们看到了很多人在放水，准备插秧，现在属于雨季，不是很明朗，但给人感觉像是走在云里一样，云雾缭绕也是极美的，不枉费长长车程。下次来就九月来，不坐缆车徒步而上，在上面住一晚上。感受一下住在云端的感觉。途径的黄洛瑶寨，也是很有特色的，里面只有82户人家，女主外，男主内。未婚和已婚，生了小孩的头发盘起来也有讲究。很有趣。值得去体验一下。
2018-05-16 14:51		4分	游客没用填写买票情况      	E41****18		比起云南元阳梯田，龙胜梯田景点还是不错的，但许多景点需要一定体力的，同时最大一个方面是景点路牌配套十分差，经常让游客走错路，本来到各景点需要上坡下坎的，如果走错路让游客心里很不舒服的。
2018-05-16 14:13		5分	游客没用填写买票情况      	320****639		很漂亮，我们住在最高点，旅馆的小哥哥带我们走了很久才到，在旅馆里面看日出简直美得不要不要的，环境很不错，就是吃的东西略贵
2018-05-15 20:45		5分	游客没用填写买票情况      	320****085		景致怡人，居民朴实。在这个喧闹的时代，这里难得的保守着宁静的姿态，守护着先民们的栖息之所。
2018-05-15 06:57		5分	游客没用填写买票情况      	让橙子飞一会		来桂林必去的经典景点，上山可以坐缆车上去，下山就不需要坐缆车了，步行更加有一种身临其境的畅快感觉。坐缆车的时候拿出手机相机就可以拍照了，不一定要到山顶拍
2018-05-14 07:08		5分	游客没用填写买票情况      	汽车之家任大人		前年过年的时候，我自驾游去过桂林，看过龙脊梯田。那时没放水，梯田里干巴巴的没有生机，极度不好看。这次随着广汽三菱的车队，又一次的来到了龙脊梯田，看到眼前的情景，不得不惊呼，我的天呐，简直太漂亮了，眼前碧波闪闪，从高往低看就像一面镜子！漂亮！
2018-05-14 00:45		5分	游客没用填写买票情况      	旭氺旭		游玩很开心，在订票方便取票快捷
2018-05-13 11:27		5分	游客没用填写买票情况      	Tompa		从总体上来说&#x20;还是挺不错的地方
2018-05-13 07:45		5分	游客没用填写买票情况      	吉林省心		景色特别美，空气清新，值得一去！
2018-05-12 19:31		5分	游客没用填写买票情况      	dd紫水晶		去的季节不好，风景一般，没放水没插秧
2018-05-09 21:04		5分	游客没用填写买票情况      	乐儿228		梯田的美，只可意会不可言传，最好在山上住一晚才更能体会它的美～
2018-05-08 17:26		5分	游客没用填写买票情况      	_WeCh****037864		梯田还没放水比较遗憾！刚好碰到下雨，雨后景色还是不错的
2018-05-08 08:16		5分	游客没用填写买票情况      	M17****121		值得一看，宏伟壮观，可惜去的稍早了点，没到灌水期
2018-05-06 18:00		3分	游客没用填写买票情况      	大耘小懿		自驾车进入景区大门后到达每一个寨子都要单独收十块钱停车费，不让开上去必须花50块钱一个人坐景区观光车，我不知道买这个自驾车专用票的意义何在。平安寨七星伴月观景台封闭，景区售票大厅没有任何通知，游客体验感很不好。给三颗星是因为老百姓种田不容易，自家田地不种好还要罚款。
2018-05-06 08:28		5分	游客没用填写买票情况      	M89****42		景色宜人，空气清新，就是时间没有算好，短暂没玩够
2018-05-04 22:04		5分	游客没用填写买票情况      	丶源暝鬼雅丶		取票方便，值的一玩的地方！推荐在景区内住一晚，很放松心情～
2018-05-03 13:27		5分	游客没用填写买票情况      	yan_nick		天气凉爽，下着小雨，这个天气很适合旅游看风景。
2018-05-01 07:12		5分	游客没用填写买票情况      	E50****12		值得一去，纯自然的生活，看到最自然的景色
2018-04-30 11:03		1分	游客没用填写买票情况      	Joyche佳		检票处要求需要提前订票，并不是随买随用，并且售票处只要是广东广西等西区只要80&#x2F;人。
2018-04-29 01:10		4分	游客没用填写买票情况      	卡西魔多		四月去只有平安放水，所以选择平安梯田，桂林出发路程需3.5小时左右，先穿过寨子，再到七星伴月，再从七星伴月到九龙五虎，大概一小时。感觉后者更壮观些。体力不够可以只选择九龙五虎。
2018-04-28 20:44		5分	游客没用填写买票情况      	折腾瓜		挑对时间去应该是很美的，我4月去还没开始放水，还碰上下雨，不过一路上山也有渐入佳境的感觉，心旷神怡啊～不知道是不是因为淡季，在山上住店也不贵，只是饭菜不合胃口。
